"productGroup","sourceUrl","accessedAt","publisher","learnedStructureOnly","adoptedAsOriginalCowinRequirement"
"suspended-and-overband","https://buntingmagnetics.com/product/magnetic-separation/overband-magnets/electromax","2026-08-08","Bunting Magnetics","Separates application, operation, installation position, discharge method, options and FAQ.","Show product-family-specific operation, installation conditions and only verified options."
"suspended-and-overband","https://buntingmagnetics.com/blog/detecting-tramp-metal/","2026-08-08","Bunting Magnetics","Explains the process relationship between a magnet, pulley and detector.","Use original process-led related-product links; do not copy examples or claims."
"suspended-and-overband","https://www.eriez.com/Documents/Literature/IOMs/Magnetic-Separation/SM-308-Eriez-Model-TP-Suspend-Permanent-Magnet-IOM.pdf","2026-08-08","Eriez","Uses installation and operating guidance as a distinct engineering information layer.","Ask for suspension, conveyor and maintenance inputs before quotation."
"wet-magnetic-separation","https://steinertglobal.com/us/sorting-systems/magnetic-separation/wet-drum-magnetic-separators/","2026-08-08","STEINERT","Separates process media, material range and application families.","Use slurry condition, feed size, tank arrangement and recovery objective fields."
"wet-magnetic-separation","https://steinertglobal.com/us/sorting-systems/magnetic-separation/wet-drum-magnetic-separators/steinert-wds/","2026-08-08","STEINERT","Provides product-specific configuration discussion rather than a generic equipment table.","Keep unverified dimensions and capacity as Available on request."
"wet-magnetic-separation","https://www.eriez.com/Products/Magnetic-Separation/Magnetic-Processing-Concentration/Magnetic-Separation-Solutions-for-Wet-Minerals-Processing/Wet-Drum-Separators","2026-08-08","Eriez","Uses tank, circuit, feed and maintenance concepts for selection.","Use only COWIN-confirmed technical values; otherwise collect selection data."
"eddy-current","https://www.eriez.com/Products/Metals-Recycling/Nonferrous-Recovery/Eddy-Current-Separators","2026-08-08","Eriez","Separates rotor, belt, splitter, feed preparation and maintenance considerations.","Use original explanation of non-ferrous separation and selection fields."
"eddy-current","https://steinertglobal.com/fileadmin/user_upload/Steinert/Downloads/Magnetic_separation/Eddy_current_separators/EddyC/Fact_Sheet_STEINERT_EddyC_EN_V2308_web.pdf","2026-08-08","STEINERT","Shows the need to separate operating dimensions, environmental limits and options.","Do not publish third-party measurements; map only COWIN-approved fields."
"eddy-current","https://www.eriez.com/Documents/Literature/Brochures/Products/SB-101-Eriez-Metal-Separation-Selection-Guide.pdf","2026-08-08","Eriez","Uses process-flow selection logic across equipment families.","Link eddy-current pages to upstream ferrous removal only where process-relevant."
"conveyor-metal-detection","https://buntingmagnetics.com/product/metal-detection/performer-pro-ub","2026-08-08","Bunting Magnetics","Separates aperture, installation orientation and detection context.","Use aperture, target contamination and alarm or reject interface fields."
"conveyor-metal-detection","https://buntingmagnetics.com/blog/detecting-tramp-metal/","2026-08-08","Bunting Magnetics","Explains detector response in a conveyor protection workflow.","Explain detector and magnet roles without unsupported performance claims."
"conveyor-metal-detection","https://buntingmagnetics.com/wp-content/uploads/2017/12/TN77_brochure.pdf","2026-08-08","Bunting Magnetics","Separates detector mechanism, conveyor integration and control response.","Require conveyor integration and process-response data before selecting a COWIN detector."
"magnetic-filters-and-components","https://buntingmagnetics.com/product/magnetic-separation/drawer-filter","2026-08-08","Bunting Magnetics","Separates flow type, contamination target and cleaning approach.","Use gravity, pneumatic or pipeline flow and cleaning access fields."
"magnetic-filters-and-components","https://buntingmagnetics.com/es/producto-2/imanes-para-la-separacion/","2026-08-08","Bunting Magnetics","Uses material flow, product form and optional baffle considerations.","Use original COWIN copy and only verified configuration options."
"magnetic-filters-and-components","https://www.eriez.com/Resources/Manuals","2026-08-08","Eriez","Keeps equipment-specific manuals and installation categories separate.","Keep source drawings and approved COWIN documents behind verified download records."
