"url","title","description","canonical","hreflang","canonicalStatus","indexStatus"
"https://cowinmagnet.co.za/en-za/404/","Page Not Found | Cowinmagnet South Africa","Page not found. Return home, view products, search website or contact Cowinmagnet.","https://cowinmagnet.co.za/en-za/404/","en-ZA=https://cowinmagnet.co.za/en-za/404/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/about/company-profile/","Company Profile | Cowinmagnet","About Cowinmagnet company-profile support for magnetic separation equipment export projects.","https://cowinmagnet.co.za/en-za/about/company-profile/","en-ZA=https://cowinmagnet.co.za/en-za/about/company-profile/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/about/export-service/","Export Service | Cowinmagnet","About Cowinmagnet export-service support for magnetic separation equipment export projects.","https://cowinmagnet.co.za/en-za/about/export-service/","en-ZA=https://cowinmagnet.co.za/en-za/about/export-service/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/about/","About Cowinmagnet | South Africa and Africa Magnetic Separator Partner","Learn about Cowinmagnet as a magnetic separation equipment solution, export and service partner for African projects.","https://cowinmagnet.co.za/en-za/about/","en-ZA=https://cowinmagnet.co.za/en-za/about/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/about/oem-odm-coordination/","Oem Odm Coordination | Cowinmagnet","About Cowinmagnet oem-odm-coordination support for magnetic separation equipment export projects.","https://cowinmagnet.co.za/en-za/about/oem-odm-coordination/","en-ZA=https://cowinmagnet.co.za/en-za/about/oem-odm-coordination/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/about/quality-control/","Quality Control | Cowinmagnet","About Cowinmagnet quality-control support for magnetic separation equipment export projects.","https://cowinmagnet.co.za/en-za/about/quality-control/","en-ZA=https://cowinmagnet.co.za/en-za/about/quality-control/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/about/why-choose-us/","Why Choose Us | Cowinmagnet","About Cowinmagnet why-choose-us support for magnetic separation equipment export projects.","https://cowinmagnet.co.za/en-za/about/why-choose-us/","en-ZA=https://cowinmagnet.co.za/en-za/about/why-choose-us/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/blog/crusher-protection-in-mining/","Crusher Protection in Mining | Cowinmagnet News","How magnetic separation supports crusher protection. Learn about magnetic separator selection for South Africa and African markets.","https://cowinmagnet.co.za/en-za/blog/crusher-protection-in-mining/","en-ZA=https://cowinmagnet.co.za/en-za/blog/crusher-protection-in-mining/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/blog/how-to-select-an-overband-magnet/","How to Select an Overband Magnet | Cowinmagnet News","Selection factors for conveyor magnets in mining and industrial applications.","https://cowinmagnet.co.za/en-za/blog/how-to-select-an-overband-magnet/","en-ZA=https://cowinmagnet.co.za/en-za/blog/how-to-select-an-overband-magnet/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/blog/","News Archive | Cowinmagnet South Africa","Legacy blog archive for Cowinmagnet South Africa news and magnetic separator articles.","https://cowinmagnet.co.za/en-za/blog/","en-ZA=https://cowinmagnet.co.za/en-za/blog/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
"https://cowinmagnet.co.za/en-za/blog/magnetic-separator-for-coal-handling/","Magnetic Separator for Coal Handling | Cowinmagnet News","Key considerations for coal conveyors and transfer points. Learn about magnetic separator selection for South Africa and African markets.","https://cowinmagnet.co.za/en-za/blog/magnetic-separator-for-coal-handling/","en-ZA=https://cowinmagnet.co.za/en-za/blog/magnetic-separator-for-coal-handling/; x-default=https://www.cowinmagnet.com/","valid","index,follow"
