"productSlug","productName","productFamily","requiredField","source","status"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"drawer-magnet","Drawer Magnet","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"drawer-magnet","Drawer Magnet","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"drawer-magnet","Drawer Magnet","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"drawer-magnet","Drawer Magnet","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"drawer-magnet","Drawer Magnet","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"drawer-magnet","Drawer Magnet","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"hump-magnet","Hump Magnet","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"hump-magnet","Hump Magnet","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"hump-magnet","Hump Magnet","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"hump-magnet","Hump Magnet","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"hump-magnet","Hump Magnet","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"hump-magnet","Hump Magnet","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-grid","Magnetic Grid","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
